213,247
54,424
180,29
212,237
50,370
95,26
162,300
485,174
320,450
640,100
710,530
150,550
400,300
550,200
100,150
300,50
700,350
250,400
600,500
450,80
35,120
780,290
125,480
390,520
670,60
510,380
280,180
430,410
590,310
720,150
60,280
340,100
190,460
520,540
650,240
75,50
410,150
560,430
300,350
740,480
155,200
470,260
610,80
200,520
350,190
680,400
110,340
530,110
260,290
440,560
30,500
770,200
140,90
380,430
620,350
90,430
460,40
550,570
310,250
690,130
175,380
500,490
280,70
420,340
580,160
50,200
330,510
660,280
130,310
490,220
740,570
200,140
370,370
610,450
85,550
450,170
540,340
300,480
680,70
160,250
510,560
260,110
400,500
570,220
40,380
350,60
630,530
120,170
470,400
720,240
190,540
440,130
590,490
80,100
330,310
660,150
150,430
500,350
250,200
700,450
